Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
1877,Female,Dark-skinned,3,"['Earring', 'Knitted Cap', 'Purple Eye Shadow']",5369,,0x6eF237
1878,Male,Light-skinned,4,"['Big Shades', 'Earring', 'Hoodie', 'Vape']",4820,['Hidden Earring'],0xF2907a
1879,Male,Mid-skinned,4,"['Earring', 'Frumpy Hair', 'Nerd Glasses', 'Normal Beard']",7039,,0x44a3CC
1880,Male,Dark-skinned,2,"['Fedora', 'Small Shades']",3859,,0x101059
1881,Female,Light-skinned,3,"['Mole', 'Purple Lipstick', 'Straight Hair Dark']",2669,,0x6865D9
1882,Male,Mid-skinned,2,"['Muttonchops', 'Wild Hair']",7734,,0x903F59
1883,Female,Light-skinned,1,['Purple Lipstick'],4529,,0xA7Eba7
1884,Male,Albino-skinned,3,"['Chinstrap', 'Peak Spike', 'Silver Chain']",2893,,0x0a8025
1885,Female,Dark-skinned,2,"['Green Eye Shadow', 'Tassle Hat']",3625,,0x005734
1886,Zombie,Zombie-skinned,2,"['Messy Hair', 'Shadow Beard']",559,,0x6611fE
1887,Male,Dark-skinned,2,"['Nerd Glasses', 'Police Cap']",4067,,0xD79b93
1888,Female,Mid-skinned,2,"['Earring', 'Wild Blonde']",1743,,0x577eBC
1889,Male,Mid-skinned,2,"['Luxurious Beard', 'Peak Spike']",6353,,0x577eBC
1890,Male,Dark-skinned,4,"['Cigarette', 'Earring', 'Front Beard Dark', 'Knitted Cap']",5101,,0x367fd6
1891,Male,Mid-skinned,2,"['Cigarette', 'Police Cap']",4076,,0xE5545c
1892,Female,Albino-skinned,1,['Cap'],8024,,0x69021A
1893,Female,Mid-skinned,3,"['Clown Eyes Blue', 'Hot Lipstick', 'Stringy Hair']",8579,,
1894,Male,Mid-skinned,2,"['Eye Mask', 'Stringy Hair']",7196,,0x26f744
1895,Female,Light-skinned,3,"['Bandana', 'Black Lipstick', 'Horned Rim Glasses']",9911,,0x51D5aa
1896,Male,Mid-skinned,2,"['Cap', 'Nerd Glasses']",8209,,0x3BE89b
1897,Male,Mid-skinned,3,"['Goat', 'Mohawk Dark', 'VR']",7245,,0x03FbbF
1898,Male,Dark-skinned,3,"['Earring', 'Front Beard Dark', 'Headband']",5081,,0x96A691
1899,Male,Mid-skinned,2,"['Frumpy Hair', 'Normal Beard Black']",6865,,0x8A873b
1900,Female,Mid-skinned,3,"['Black Lipstick', 'Mohawk Dark', 'Mole']",9027,,0x51688C
1901,Male,Dark-skinned,3,"['Headband', 'Mustache', 'Regular Shades']",6626,,0x058Adc
1902,Female,Dark-skinned,2,"['Bandana', 'Purple Lipstick']",9972,,0xE8aeA1
1903,Male,Mid-skinned,1,['Beanie'],77,,0xA64BdD
1904,Male,Mid-skinned,2,"['Cigarette', 'Frumpy Hair']",9463,,0xCB8172
1905,Male,Dark-skinned,2,"['Frumpy Hair', 'Horned Rim Glasses']",9405,,0x00B278
1906,Female,Dark-skinned,2,"['Purple Eye Shadow', 'Straight Hair Blonde']",1513,,0x577eBC
1907,Female,Dark-skinned,3,"['Blue Eye Shadow', 'Dark Hair', 'Purple Lipstick']",2995,,0x577eBC
1908,Male,Albino-skinned,2,"['Headband', 'Horned Rim Glasses']",8653,,0xa3cd11
1909,Male,Mid-skinned,3,"['Bandana', 'Big Shades', 'Goat']",7367,,0x26f744
1910,Female,Mid-skinned,4,"['Crazy Hair', 'Earring', 'Mole', 'Purple Eye Shadow']",5354,,0x807256
1911,Female,Albino-skinned,3,"['Cigarette', 'Green Eye Shadow', 'Orange Side']",270,,0xF1ad94
1912,Male,Light-skinned,3,"['Classic Shades', 'Frown', 'Peak Spike']",5247,,0x2d8d75
1913,Female,Light-skinned,3,"['Earring', 'Hot Lipstick', 'Straight Hair']",2850,['Hidden Earring'],0x8BB4F3
1914,Female,Mid-skinned,4,"['Classic Shades', 'Frumpy Hair', 'Gold Chain', 'Hot Lipstick']",3454,,0xCC7C33
1915,Female,Light-skinned,2,"['Black Lipstick', 'Mohawk']",9256,,0xCC7C33
1916,Male,Mid-skinned,2,"['Do-rag', 'Normal Beard Black']",6751,,0xE83C75
